"Pop_Reg.Region","Pop_Reg.Barangay","Pop_Reg.BarangayDensity"
"NATIONAL CAPITAL REGION","Barangay 176",678817.493624302
"NATIONAL CAPITAL REGION","Commonwealth",546008.667721212
"NATIONAL CAPITAL REGION","Batasan Hills",444464.851341318
"NATIONAL CAPITAL REGION","Pinagbuhatan",418497.875843368
"NATIONAL CAPITAL REGION","Payatas",358892.239403428
